text,newspaper,country,date,auhtor
"Twitter has said its users can have an ""Edit"" button when ""everyone wears a mask"". The platform's communications team added, ""Everyone means EVERYONE."" It currently doesn't allow a tweet to be edited once it has been posted. Twitter Co-founder Jack Dorsey earlier said it would ""probably never"" introduce the feature as some people may potentially edit content to mislead others.",inshort,india,2020-07-05,
"A US Navy veteran, who was hired by Facebook to recruit other workers retired from the armed services, has filed a federal complaint against the firm, accusing it of discriminating against black job applicants and staff. Oscar Veneszee Jr said he was denied promotions despite positive feedback from managers. Earlier, another former recruiter sued Facebook for $100 million, alleging discrimination.",inshort,india,2020-07-05,
"Twitter's engineering division has said the company will drop the coding terms like ""master"" and ""slave"" in favour of more inclusive language such as ""leader"" and ""follower"". The effort to replace the words with racist or discriminatory connections was spearheaded by two engineers. The list includes changing ""blacklist"" to ""denylist"", ""whitelist"" to ""allowlist"" and ""man hours"" to ""person hours"".",inshort,india,2020-07-05,
"Reliance Industries on Friday announced that Intel Capital, the venture capital arm of chipmaker Intel Corp, will invest ₹1,895 crore in Jio Platforms for a 0.39% stake. This is the twelfth investment in Reliance's digital unit in eleven weeks. Reliance has now raised nearly ₹1.18 lakh crore by selling a 25.09% stake in Jio Platforms.",inshort,india,2020-07-05,
"Some Tesla staff and labour activists have accused that Tesla is threatening to fire employees who haven’t returned to work since its plant reopened. The group wants the state and county officials to make sure that proper safety procedures are followed at Tesla's Fremont factory. Last week, Tesla officials had said that claims of California workers being fired weren't true.",inshort,india,2020-07-05,
"Dating app Badoo has launched an AI tool that would help users to stop receiving unsolicited pictures of penis. The tool, called 'Private Detector', identifies potentially offending photos and then automatically blurs them. It also gives users a warning that an image may contain ""inappropriate content"". Users can then choose to view, block or report the image.

",inshort,india,2020-07-05,
"UCLA researchers have developed a glove-like device that can translate American Sign Language into English speech in real time through a smartphone app. Its system can interpret 660 sign language hand gestures and translate them with 98.63% accuracy, researchers said. The system includes thin, stretchable sensors that run the length of each of the five fingers.",inshort,india,2020-07-05,
Read our COVID-19 research and news.,robotics,worlwide,2020-07-05,
Table of Contents,robotics,worlwide,2020-07-05,
"© 2020 American Association for the Advancement of Science. All rights reserved. AAAS is a partner of HINARI, AGORA, OARE, CHORUS, CLOCKSS, CrossRef and COUNTER.
Science Robotics ISSN 2470-9476.",robotics,worlwide,2020-07-05,
"Fukuoka SoftBank Hawks, a Japanese baseball team owned by SoftBank Group, witnessed robots cheering for them during a match instead of their fans. The SoftBank-made 'Pepper' humanoid robots wore team jerseys and cheered from the otherwise empty stands. Due to the coronavirus pandemic, fans aren't allowed to watch the Nippon Professional Baseball league in person until at least July 10. ",inshort,india,2020-07-06,
"Microsoft-owned LinkedIn was found copying the contents of an iOS device's clipboard, a user of iOS 14 Developer beta tweeted. The forthcoming iOS 14 notifies users when an app is pasting from the clipboard. LinkedIn's Engineering VP, Erran Berger, acknowledged the issue and said it doesn't store or transmit the clipboard contents. He said a fix will soon be released.",inshort,india,2020-07-06,
"PM Narendra Modi on Saturday announced the ""Digital India AatmaNirbhar Bharat Innovate Challenge"" to identify Indian apps that are already in use and have the potential to become ""world-class"" apps. The challenge is being launched in eight categories such as social networking, entertainment, e-learning and gaming. For each broad category, the government has allocated the first prize of ₹20 lakh.",inshort,india,2020-07-06,
"MIT has apologized and removed a highly-cited dataset, named ""80 Million Tiny Images"", after it was found to contain ""racist, sexist and other offensive labels"". The AI-training set was created by scrapping pictures from Google Images. Some images of black people were labelled with a racist slur and women in bikinis were labelled ""wh*res"", researchers who made the discovery said.",inshort,india,2020-07-06,
"The Confederation of All India Traders (CAIT) has urged the government to ban China's Huawei and ZTE Corporation from participating in 5G network rollout in India. The CAIT said that several countries have charged both the companies with a number of crimes including conspiracy, money laundering, bank and wire fraud. Banning companies will protect the privacy of Indians, CAIT added.",inshort,india,2020-07-06,
"Privacy-focused search engine DuckDuckGo has said its services are now being broadly restored in India. This comes after it received user reports that the search engine was unreachable in the country from July 1, with some Indian Internet Service Providers (ISPs) appearing to be blocking it, as per reports. The US-based company confirmed the issue didn't occur from its end.",inshort,india,2020-07-06,
"Alibaba has fired Zhao Yan, the head of its live-streaming division Taobao Live, after he allegedly helped his girlfriend secure a job with a live-streaming company and accepted gifts from business partners. Yan also allegedly helped third-party live-streamers secure a contract with Taobao Live, according to an internal memo seen by Reuters. ",inshort,india,2020-07-06,
"Tesla CEO Elon Musk on Sunday said American philosopher and cognitive scientist Noam Chomsky ""sucks"", adding that he is a ""mind virus for fools"". Musk called Chomsky a 'mind virus' in response to a Twitter user's tweet that said, ""Chomsky has uttered insane things about politics for more than five decades.""",inshort,india,2020-07-06,
"Popular Twitch streamer and gamer Byron Bernstein, known as 'Reckful', died by suicide aged 31 on Thursday, hours after he proposed to his ex-girlfriend Rebecca 'Becca' Cho on Twitter. Bernstein built a following of nearly 1 million on Twitch in part by playing World Of Warcraft. Hundreds of fans held virtual memorials inside the game when his death was reported.",inshort,india,2020-07-06,
"Facebook has announced that Facebook and Instagram users in the US will be reminded to wear face coverings, like masks, when they visit the platforms. It said it is putting an alert at the top of both the platforms. It will also ask them to look at additional prevention tips from CDC in its COVID-19 Information Center.",inshort,india,2020-07-06,
"An augmented reality (AR) mirror at a boutique in South Korea is helping customers with touchless cosmetics shopping. It takes a picture of the customer and analyses it to recommend products based on skin texture, and addresses any blemishes, wrinkles or dark circles. Customers found it helpful since they feel uncomfortable to test cosmetics due to COVID-19.",inshort,india,2020-07-06,
"UK's health minister said Huawei will have to follow some conditions for involvement in 5G network. ""I'm sure that National Security Council will look at those conditions and make the right decision, to make sure we have a secure telecoms infrastructure,"" he said. It was earlier reported that UK was looking to end the use of Huawei technology by 2021.
",inshort,india,2020-07-06,
"Traders' body CAIT has asked the government to let it present its views to the committee set up to probe data sharing practices of 59 apps banned by India. It said, like the app owners, it should be given an ""equal opportunity"" to present why the ban was ""necessary"". Earlier, the government had banned 59 apps which were mostly Chinese.",inshort,india,2020-07-06,
"Indian payment solutions provider Pine Labs has held talks to buy out the Asian business of German payments company Wirecard, Bloomberg reported. There is no information available yet on the valuation and finances of Wirecard's Asian operations. Earlier, Wirecard had filed for insolvency after disclosing that $2 billion had gone missing from its accounts.",inshort,india,2020-07-06,
